Year,Month,Date,Item,Country,Price(Baht),UNIT
2012,January,20,1033G-E10,TH-THAILAND,37.26,BAHT/LITRE
2012,January,20,1034-ULG 95,BE-BELGIUM,67.845196,BAHT/LITRE
2012,January,20,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",64.166842,BAHT/LITRE
2012,January,20,1034-ULG 95,FR-FRANCE,66.619078,BAHT/LITRE
2012,January,20,1034-ULG 95,GB-UNITED KINGDOM,67.027784,BAHT/LITRE
2012,January,20,1034-ULG 95,HK-HONG KONG,71.72254,BAHT/LITRE
2012,January,20,1034-ULG 95,ID-INDONESIA,31.7205,BAHT/LITRE
2012,January,20,1034-ULG 95,IT-ITALY,69.48002,BAHT/LITRE
2012,January,20,1034-ULG 95,KH-KINGDOM OF CAMBODIA,42.96255,BAHT/LITRE
2012,January,20,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",40.303,BAHT/LITRE
2012,January,20,1034-ULG 95,MY-MALAYSIA,19.32813,BAHT/LITRE
2012,January,20,1034-ULG 95,NL-NETHERLANDS,71.114844,BAHT/LITRE
2012,January,20,1034-ULG 95,PH-PHILIPPINES,41.2669,BAHT/LITRE
2012,January,20,1034-ULG 95,SG-SINGAPORE,52.543352,BAHT/LITRE
2012,January,20,1034-ULG 95,TH-THAILAND,42.49,BAHT/LITRE
2012,January,20,1034-ULG 95,US-UNITED STATES OF AMERICA,26.912854,BAHT/LITRE
2012,January,20,1052-HSD (B7),BE-BELGIUM,60.897194,BAHT/LITRE
2012,January,20,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",59.671076,BAHT/LITRE
2012,January,20,1052-HSD (B7),FR-FRANCE,60.079782,BAHT/LITRE
2012,January,20,1052-HSD (B7),GB-UNITED KINGDOM,70.706138,BAHT/LITRE
2012,January,20,1052-HSD (B7),HK-HONG KONG,49.210196,BAHT/LITRE
2012,January,20,1052-HSD (B7),ID-INDONESIA,34.18765,BAHT/LITRE
2012,January,20,1052-HSD (B7),IT-ITALY,67.845196,BAHT/LITRE
2012,January,20,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,38.705,BAHT/LITRE
2012,January,20,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",36.84284,BAHT/LITRE
2012,January,20,1052-HSD (B7),MY-MALAYSIA,18.31086,BAHT/LITRE
2012,January,20,1052-HSD (B7),NL-NETHERLANDS,59.671076,BAHT/LITRE
2012,January,20,1052-HSD (B7),PH-PHILIPPINES,34.0837,BAHT/LITRE
2012,January,20,1052-HSD (B7),SG-SINGAPORE,40.398898,BAHT/LITRE
2012,January,20,1052-HSD (B7),TH-THAILAND,31.13,BAHT/LITRE
2012,January,20,1052-HSD (B7),US-UNITED STATES OF AMERICA,31.912146,BAHT/LITRE
2012,February,21,1033G-E10,TH-THAILAND,39.63,BAHT/LITRE
2012,February,21,1034-ULG 95,BE-BELGIUM,67.57777,BAHT/LITRE
2012,February,21,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",65.94939,BAHT/LITRE
2012,February,21,1034-ULG 95,FR-FRANCE,63.50682,BAHT/LITRE
2012,February,21,1034-ULG 95,GB-UNITED KINGDOM,70.427435,BAHT/LITRE
2012,February,21,1034-ULG 95,HK-HONG KONG,71.521404,BAHT/LITRE
2012,February,21,1034-ULG 95,ID-INDONESIA,30.9465,BAHT/LITRE
2012,February,21,1034-ULG 95,IT-ITALY,72.870005,BAHT/LITRE
2012,February,21,1034-ULG 95,KH-KINGDOM OF CAMBODIA,44.486,BAHT/LITRE
2012,February,21,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",40.422485,BAHT/LITRE
2012,February,21,1034-ULG 95,MY-MALAYSIA,19.253808,BAHT/LITRE
2012,February,21,1034-ULG 95,NL-NETHERLANDS,72.46291,BAHT/LITRE
2012,February,21,1034-ULG 95,PH-PHILIPPINES,41.147468,BAHT/LITRE
2012,February,21,1034-ULG 95,SG-SINGAPORE,52.73434,BAHT/LITRE
2012,February,21,1034-ULG 95,TH-THAILAND,44.86,BAHT/LITRE
2012,February,21,1034-ULG 95,US-UNITED STATES OF AMERICA,31.282953,BAHT/LITRE
2012,February,21,1034-ULG 95,VN-VIETNAM,31.4388,BAHT/LITRE
2012,February,21,1052-HSD (B7),BE-BELGIUM,61.87844,BAHT/LITRE
2012,February,21,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",62.285535,BAHT/LITRE
2012,February,21,1052-HSD (B7),FR-FRANCE,56.17911,BAHT/LITRE
2012,February,21,1052-HSD (B7),GB-UNITED KINGDOM,71.241625,BAHT/LITRE
2012,February,21,1052-HSD (B7),HK-HONG KONG,47.879276,BAHT/LITRE
2012,February,21,1052-HSD (B7),ID-INDONESIA,32.988969,BAHT/LITRE
2012,February,21,1052-HSD (B7),IT-ITALY,70.427435,BAHT/LITRE
2012,February,21,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,39.884,BAHT/LITRE
2012,February,21,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",35.665836,BAHT/LITRE
2012,February,21,1052-HSD (B7),MY-MALAYSIA,18.235088,BAHT/LITRE
2012,February,21,1052-HSD (B7),NL-NETHERLANDS,60.25006,BAHT/LITRE
2012,February,21,1052-HSD (B7),PH-PHILIPPINES,33.701598,BAHT/LITRE
2012,February,21,1052-HSD (B7),SG-SINGAPORE,40.715816,BAHT/LITRE
2012,February,21,1052-HSD (B7),TH-THAILAND,31.73,BAHT/LITRE
2012,February,21,1052-HSD (B7),US-UNITED STATES OF AMERICA,32.095498,BAHT/LITRE
2012,February,21,1052-HSD (B7),VN-VIETNAM,30.1104,BAHT/LITRE
2012,March,12,1033G-E10,TH-THAILAND,40.23,BAHT/LITRE
2012,March,12,1034-ULG 95,BE-BELGIUM,69.784962,BAHT/LITRE
2012,March,12,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",66.576458,BAHT/LITRE
2012,March,12,1034-ULG 95,FR-FRANCE,66.977521,BAHT/LITRE
2012,March,12,1034-ULG 95,GB-UNITED KINGDOM,66.977521,BAHT/LITRE
2012,March,12,1034-ULG 95,HK-HONG KONG,71.35843,BAHT/LITRE
2012,March,12,1034-ULG 95,ID-INDONESIA,30.3012,BAHT/LITRE
2012,March,12,1034-ULG 95,IT-ITALY,73.394529,BAHT/LITRE
2012,March,12,1034-ULG 95,KH-KINGDOM OF CAMBODIA,44.3236,BAHT/LITRE
2012,March,12,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",42.229,BAHT/LITRE
2012,March,12,1034-ULG 95,MY-MALAYSIA,19.24795,BAHT/LITRE
2012,March,12,1034-ULG 95,NL-NETHERLANDS,73.394529,BAHT/LITRE
2012,March,12,1034-ULG 95,PH-PHILIPPINES,41.184,BAHT/LITRE
2012,March,12,1034-ULG 95,SG-SINGAPORE,53.49454,BAHT/LITRE
2012,March,12,1034-ULG 95,TH-THAILAND,44.86,BAHT/LITRE
2012,March,12,1034-ULG 95,US-UNITED STATES OF AMERICA,32.936569,BAHT/LITRE
2012,March,12,1034-ULG 95,VN-VIETNAM,34.4214,BAHT/LITRE
2012,March,12,1052-HSD (B7),BE-BELGIUM,62.164765,BAHT/LITRE
2012,March,12,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",61.362639,BAHT/LITRE
2012,March,12,1052-HSD (B7),FR-FRANCE,59.758387,BAHT/LITRE
2012,March,12,1052-HSD (B7),GB-UNITED KINGDOM,70.988151,BAHT/LITRE
2012,March,12,1052-HSD (B7),HK-HONG KONG,49.32301,BAHT/LITRE
2012,March,12,1052-HSD (B7),ID-INDONESIA,32.442485,BAHT/LITRE
2012,March,12,1052-HSD (B7),IT-ITALY,69.784962,BAHT/LITRE
2012,March,12,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,39.7384,BAHT/LITRE
2012,March,12,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",37.35347,BAHT/LITRE
2012,March,12,1052-HSD (B7),MY-MALAYSIA,18.2349,BAHT/LITRE
2012,March,12,1052-HSD (B7),NL-NETHERLANDS,60.560513,BAHT/LITRE
2012,March,12,1052-HSD (B7),PH-PHILIPPINES,34.524,BAHT/LITRE
2012,March,12,1052-HSD (B7),SG-SINGAPORE,41.579847,BAHT/LITRE
2012,March,12,1052-HSD (B7),TH-THAILAND,32.33,BAHT/LITRE
2012,March,12,1052-HSD (B7),US-UNITED STATES OF AMERICA,33.341195,BAHT/LITRE
2012,March,12,1052-HSD (B7),VN-VIETNAM,31.4794,BAHT/LITRE
2012,April,24,1033G-E10,TH-THAILAND,40.03,BAHT/LITRE
2012,April,24,1034-ULG 95,BE-BELGIUM,72.623822,BAHT/LITRE
2012,April,24,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",69.35983,BAHT/LITRE
2012,April,24,1034-ULG 95,FR-FRANCE,71.807824,BAHT/LITRE
2012,April,24,1034-ULG 95,GB-UNITED KINGDOM,70.991826,BAHT/LITRE
2012,April,24,1034-ULG 95,HK-HONG KONG,72.380237,BAHT/LITRE
2012,April,24,1034-ULG 95,ID-INDONESIA,33.983,BAHT/LITRE
2012,April,24,1034-ULG 95,IT-ITALY,77.111811,BAHT/LITRE
2012,April,24,1034-ULG 95,KH-KINGDOM OF CAMBODIA,44.321,BAHT/LITRE
2012,April,24,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",42.669,BAHT/LITRE
2012,April,24,1034-ULG 95,MY-MALAYSIA,19.22382,BAHT/LITRE
2012,April,24,1034-ULG 95,NL-NETHERLANDS,75.479815,BAHT/LITRE
2012,April,24,1034-ULG 95,PH-PHILIPPINES,42.046704,BAHT/LITRE
2012,April,24,1034-ULG 95,SG-SINGAPORE,54.438363,BAHT/LITRE
2012,April,24,1034-ULG 95,TH-THAILAND,47.4,BAHT/LITRE
2012,April,24,1034-ULG 95,US-UNITED STATES OF AMERICA,34.169101,BAHT/LITRE
2012,April,24,1034-ULG 95,VN-VIETNAM,36.1584,BAHT/LITRE
2012,April,24,1052-HSD (B7),BE-BELGIUM,62.831846,BAHT/LITRE
2012,April,24,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",62.423847,BAHT/LITRE
2012,April,24,1052-HSD (B7),FR-FRANCE,63.647844,BAHT/LITRE
2012,April,24,1052-HSD (B7),GB-UNITED KINGDOM,73.43982,BAHT/LITRE
2012,April,24,1052-HSD (B7),HK-HONG KONG,49.359245,BAHT/LITRE
2012,April,24,1052-HSD (B7),ID-INDONESIA,35.695743,BAHT/LITRE
2012,April,24,1052-HSD (B7),IT-ITALY,72.215823,BAHT/LITRE
2012,April,24,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,39.6962,BAHT/LITRE
2012,April,24,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",41.03982,BAHT/LITRE
2012,April,24,1052-HSD (B7),MY-MALAYSIA,18.21204,BAHT/LITRE
2012,April,24,1052-HSD (B7),NL-NETHERLANDS,60.791851,BAHT/LITRE
2012,April,24,1052-HSD (B7),PH-PHILIPPINES,34.542,BAHT/LITRE
2012,April,24,1052-HSD (B7),SG-SINGAPORE,42.25809,BAHT/LITRE
2012,April,24,1052-HSD (B7),TH-THAILAND,32.03,BAHT/LITRE
2012,April,24,1052-HSD (B7),US-UNITED STATES OF AMERICA,33.759399,BAHT/LITRE
2012,April,24,1052-HSD (B7),VN-VIETNAM,32.5872,BAHT/LITRE
2012,May,31,1033G-E10,TH-THAILAND,37.23,BAHT/LITRE
2012,May,31,1034-ULG 95,BE-BELGIUM,67.11821,BAHT/LITRE
2012,May,31,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",65.144145,BAHT/LITRE
2012,May,31,1034-ULG 95,FR-FRANCE,67.513023,BAHT/LITRE
2012,May,31,1034-ULG 95,GB-UNITED KINGDOM,67.11821,BAHT/LITRE
2012,May,31,1034-ULG 95,HK-HONG KONG,72.17756,BAHT/LITRE
2012,May,31,1034-ULG 95,ID-INDONESIA,33.548,BAHT/LITRE
2012,May,31,1034-ULG 95,IT-ITALY,71.855966,BAHT/LITRE
2012,May,31,1034-ULG 95,KH-KINGDOM OF CAMBODIA,44.1265,BAHT/LITRE
2012,May,31,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",43.747,BAHT/LITRE
2012,May,31,1034-ULG 95,MY-MALAYSIA,19.167996,BAHT/LITRE
2012,May,31,1034-ULG 95,NL-NETHERLANDS,71.06634,BAHT/LITRE
2012,May,31,1034-ULG 95,PH-PHILIPPINES,39.53532,BAHT/LITRE
2012,May,31,1034-ULG 95,SG-SINGAPORE,52.266388,BAHT/LITRE
2012,May,31,1034-ULG 95,TH-THAILAND,45,BAHT/LITRE
2012,May,31,1034-ULG 95,US-UNITED STATES OF AMERICA,30.842341,BAHT/LITRE
2012,May,31,1034-ULG 95,VN-VIETNAM,35.4496,BAHT/LITRE
2012,May,31,1052-HSD (B7),BE-BELGIUM,59.616763,BAHT/LITRE
2012,May,31,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",58.432324,BAHT/LITRE
2012,May,31,1052-HSD (B7),FR-FRANCE,61.196015,BAHT/LITRE
2012,May,31,1052-HSD (B7),GB-UNITED KINGDOM,70.276714,BAHT/LITRE
2012,May,31,1052-HSD (B7),HK-HONG KONG,48.59764,BAHT/LITRE
2012,May,31,1052-HSD (B7),ID-INDONESIA,35.208626,BAHT/LITRE
2012,May,31,1052-HSD (B7),IT-ITALY,68.302649,BAHT/LITRE
2012,May,31,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,39.4405,BAHT/LITRE
2012,May,31,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",39.77,BAHT/LITRE
2012,May,31,1052-HSD (B7),MY-MALAYSIA,18.164436,BAHT/LITRE
2012,May,31,1052-HSD (B7),NL-NETHERLANDS,58.432324,BAHT/LITRE
2012,May,31,1052-HSD (B7),PH-PHILIPPINES,32.42028,BAHT/LITRE
2012,May,31,1052-HSD (B7),SG-SINGAPORE,40.128696,BAHT/LITRE
2012,May,31,1052-HSD (B7),TH-THAILAND,29.83,BAHT/LITRE
2012,May,31,1052-HSD (B7),US-UNITED STATES OF AMERICA,32.780521,BAHT/LITRE
2012,May,31,1052-HSD (B7),VN-VIETNAM,32.3936,BAHT/LITRE
2012,June,22,1033G-E10,TH-THAILAND,35.43,BAHT/LITRE
2012,June,22,1034-ULG 95,BE-BELGIUM,65.90529,BAHT/LITRE
2012,June,22,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",62.709882,BAHT/LITRE
2012,June,22,1034-ULG 95,FR-FRANCE,67.502994,BAHT/LITRE
2012,June,22,1034-ULG 95,GB-UNITED KINGDOM,65.90529,BAHT/LITRE
2012,June,22,1034-ULG 95,HK-HONG KONG,64.311741,BAHT/LITRE
2012,June,22,1034-ULG 95,ID-INDONESIA,33.924,BAHT/LITRE
2012,June,22,1034-ULG 95,IT-ITALY,69.89955,BAHT/LITRE
2012,June,22,1034-ULG 95,KH-KINGDOM OF CAMBODIA,41.0962,BAHT/LITRE
2012,June,22,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",41.96544,BAHT/LITRE
2012,June,22,1034-ULG 95,MY-MALAYSIA,18.96352,BAHT/LITRE
2012,June,22,1034-ULG 95,NL-NETHERLANDS,70.298976,BAHT/LITRE
2012,June,22,1034-ULG 95,PH-PHILIPPINES,37.28265,BAHT/LITRE
2012,June,22,1034-ULG 95,SG-SINGAPORE,49.077625,BAHT/LITRE
2012,June,22,1034-ULG 95,TH-THAILAND,43.7,BAHT/LITRE
2012,June,22,1034-ULG 95,US-UNITED STATES OF AMERICA,29.663751,BAHT/LITRE
2012,June,22,1034-ULG 95,VN-VIETNAM,32.984,BAHT/LITRE
2012,June,22,1052-HSD (B7),BE-BELGIUM,57.91677,BAHT/LITRE
2012,June,22,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",55.91964,BAHT/LITRE
2012,June,22,1052-HSD (B7),FR-FRANCE,59.9139,BAHT/LITRE
2012,June,22,1052-HSD (B7),GB-UNITED KINGDOM,69.100698,BAHT/LITRE
2012,June,22,1052-HSD (B7),HK-HONG KONG,46.153614,BAHT/LITRE
2012,June,22,1052-HSD (B7),ID-INDONESIA,34.26324,BAHT/LITRE
2012,June,22,1052-HSD (B7),IT-ITALY,65.505864,BAHT/LITRE
2012,June,22,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,37.2192,BAHT/LITRE
2012,June,22,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",37.39534,BAHT/LITRE
2012,June,22,1052-HSD (B7),MY-MALAYSIA,17.96544,BAHT/LITRE
2012,June,22,1052-HSD (B7),NL-NETHERLANDS,56.319066,BAHT/LITRE
2012,June,22,1052-HSD (B7),PH-PHILIPPINES,30.57552,BAHT/LITRE
2012,June,22,1052-HSD (B7),SG-SINGAPORE,36.8705,BAHT/LITRE
2012,June,22,1052-HSD (B7),TH-THAILAND,29.53,BAHT/LITRE
2012,June,22,1052-HSD (B7),US-UNITED STATES OF AMERICA,31.344416,BAHT/LITRE
2012,June,22,1052-HSD (B7),VN-VIETNAM,30.552,BAHT/LITRE
2012,July,24,1033G-E10,TH-THAILAND,37.73,BAHT/LITRE
2012,July,24,1034-ULG 95,BE-BELGIUM,65.091026,BAHT/LITRE
2012,July,24,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",65.091026,BAHT/LITRE
2012,July,24,1034-ULG 95,FR-FRANCE,65.47618,BAHT/LITRE
2012,July,24,1034-ULG 95,GB-UNITED KINGDOM,65.861334,BAHT/LITRE
2012,July,24,1034-ULG 95,HK-HONG KONG,71.838578,BAHT/LITRE
2012,July,24,1034-ULG 95,ID-INDONESIA,30.5235,BAHT/LITRE
2012,July,24,1034-ULG 95,IT-ITALY,68.557412,BAHT/LITRE
2012,July,24,1034-ULG 95,KH-KINGDOM OF CAMBODIA,40.53525,BAHT/LITRE
2012,July,24,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",43.549,BAHT/LITRE
2012,July,24,1034-ULG 95,MY-MALAYSIA,18.99867,BAHT/LITRE
2012,July,24,1034-ULG 95,NL-NETHERLANDS,69.32772,BAHT/LITRE
2012,July,24,1034-ULG 95,PH-PHILIPPINES,38.26836,BAHT/LITRE
2012,July,24,1034-ULG 95,SG-SINGAPORE,51.929304,BAHT/LITRE
2012,July,24,1034-ULG 95,TH-THAILAND,47.5,BAHT/LITRE
2012,July,24,1034-ULG 95,US-UNITED STATES OF AMERICA,30.971724,BAHT/LITRE
2012,July,24,1034-ULG 95,VN-VIETNAM,32.766,BAHT/LITRE
2012,July,24,1052-HSD (B7),BE-BELGIUM,58.543408,BAHT/LITRE
2012,July,24,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",56.617638,BAHT/LITRE
2012,July,24,1052-HSD (B7),FR-FRANCE,59.313716,BAHT/LITRE
2012,July,24,1052-HSD (B7),GB-UNITED KINGDOM,68.942566,BAHT/LITRE
2012,July,24,1052-HSD (B7),HK-HONG KONG,48.32926,BAHT/LITRE
2012,July,24,1052-HSD (B7),ID-INDONESIA,31.866534,BAHT/LITRE
2012,July,24,1052-HSD (B7),IT-ITALY,63.935564,BAHT/LITRE
2012,July,24,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,37.0608,BAHT/LITRE
2012,July,24,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",36.680135,BAHT/LITRE
2012,July,24,1052-HSD (B7),MY-MALAYSIA,17.99874,BAHT/LITRE
2012,July,24,1052-HSD (B7),NL-NETHERLANDS,57.002792,BAHT/LITRE
2012,July,24,1052-HSD (B7),PH-PHILIPPINES,31.377036,BAHT/LITRE
2012,July,24,1052-HSD (B7),SG-SINGAPORE,39.829272,BAHT/LITRE
2012,July,24,1052-HSD (B7),TH-THAILAND,29.83,BAHT/LITRE
2012,July,24,1052-HSD (B7),US-UNITED STATES OF AMERICA,31.055659,BAHT/LITRE
2012,July,24,1052-HSD (B7),VN-VIETNAM,30.9372,BAHT/LITRE
2012,August,29,1033G-E10,TH-THAILAND,38.13,BAHT/LITRE
2012,August,29,1034-ULG 95,BE-BELGIUM,69.202672,BAHT/LITRE
2012,August,29,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",68.023081,BAHT/LITRE
2012,August,29,1034-ULG 95,FR-FRANCE,68.023081,BAHT/LITRE
2012,August,29,1034-ULG 95,GB-UNITED KINGDOM,68.023081,BAHT/LITRE
2012,August,29,1034-ULG 95,HK-HONG KONG,74.049584,BAHT/LITRE
2012,August,29,1034-ULG 95,ID-INDONESIA,32.696,BAHT/LITRE
2012,August,29,1034-ULG 95,IT-ITALY,71.955051,BAHT/LITRE
2012,August,29,1034-ULG 95,KH-KINGDOM OF CAMBODIA,42.3335,BAHT/LITRE
2012,August,29,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",42.8536,BAHT/LITRE
2012,August,29,1034-ULG 95,MY-MALAYSIA,19.08911,BAHT/LITRE
2012,August,29,1034-ULG 95,NL-NETHERLANDS,72.348248,BAHT/LITRE
2012,August,29,1034-ULG 95,PH-PHILIPPINES,41.313696,BAHT/LITRE
2012,August,29,1034-ULG 95,SG-SINGAPORE,53.979264,BAHT/LITRE
2012,August,29,1034-ULG 95,TH-THAILAND,47.9,BAHT/LITRE
2012,August,29,1034-ULG 95,US-UNITED STATES OF AMERICA,32.347734,BAHT/LITRE
2012,August,29,1034-ULG 95,VN-VIETNAM,36.225,BAHT/LITRE
2012,August,29,1052-HSD (B7),BE-BELGIUM,60.945535,BAHT/LITRE
2012,August,29,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",60.552338,BAHT/LITRE
2012,August,29,1052-HSD (B7),FR-FRANCE,62.518323,BAHT/LITRE
2012,August,29,1052-HSD (B7),GB-UNITED KINGDOM,70.382263,BAHT/LITRE
2012,August,29,1052-HSD (B7),HK-HONG KONG,49.945112,BAHT/LITRE
2012,August,29,1052-HSD (B7),ID-INDONESIA,33.994031,BAHT/LITRE
2012,August,29,1052-HSD (B7),IT-ITALY,67.629884,BAHT/LITRE
2012,August,29,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,38.485,BAHT/LITRE
2012,August,29,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",35.6592,BAHT/LITRE
2012,August,29,1052-HSD (B7),MY-MALAYSIA,18.08442,BAHT/LITRE
2012,August,29,1052-HSD (B7),NL-NETHERLANDS,59.765944,BAHT/LITRE
2012,August,29,1052-HSD (B7),PH-PHILIPPINES,34.066068,BAHT/LITRE
2012,August,29,1052-HSD (B7),SG-SINGAPORE,41.23416,BAHT/LITRE
2012,August,29,1052-HSD (B7),TH-THAILAND,29.83,BAHT/LITRE
2012,August,29,1052-HSD (B7),US-UNITED STATES OF AMERICA,31.85135,BAHT/LITRE
2012,August,29,1052-HSD (B7),VN-VIETNAM,32.775,BAHT/LITRE
2012,September,25,1033G-E10,TH-THAILAND,37.63,BAHT/LITRE
2012,September,25,1034-ULG 95,BE-BELGIUM,70.417072,BAHT/LITRE
2012,September,25,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",69.616878,BAHT/LITRE
2012,September,25,1034-ULG 95,FR-FRANCE,65.615908,BAHT/LITRE
2012,September,25,1034-ULG 95,GB-UNITED KINGDOM,70.817169,BAHT/LITRE
2012,September,25,1034-ULG 95,HK-HONG KONG,68.9073,BAHT/LITRE
2012,September,25,1034-ULG 95,ID-INDONESIA,35.5058,BAHT/LITRE
2012,September,25,1034-ULG 95,IT-ITALY,75.618333,BAHT/LITRE
2012,September,25,1034-ULG 95,KH-KINGDOM OF CAMBODIA,43.02475,BAHT/LITRE
2012,September,25,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",41.38344,BAHT/LITRE
2012,September,25,1034-ULG 95,MY-MALAYSIA,19.16112,BAHT/LITRE
2012,September,25,1034-ULG 95,NL-NETHERLANDS,75.218236,BAHT/LITRE
2012,September,25,1034-ULG 95,PH-PHILIPPINES,40.984804,BAHT/LITRE
2012,September,25,1034-ULG 95,SG-SINGAPORE,53.447956,BAHT/LITRE
2012,September,25,1034-ULG 95,TH-THAILAND,47.9,BAHT/LITRE
2012,September,25,1034-ULG 95,US-UNITED STATES OF AMERICA,33.83348,BAHT/LITRE
2012,September,25,1034-ULG 95,VN-VIETNAM,35.7903,BAHT/LITRE
2012,September,25,1052-HSD (B7),BE-BELGIUM,61.214841,BAHT/LITRE
2012,September,25,1052-HSD (B7),"DE-GERAMANY,FEDERAL REPUBLIC OF",62.815229,BAHT/LITRE
2012,September,25,1052-HSD (B7),FR-FRANCE,60.01455,BAHT/LITRE
2012,September,25,1052-HSD (B7),GB-UNITED KINGDOM,72.417557,BAHT/LITRE
2012,September,25,1052-HSD (B7),HK-HONG KONG,49.0371,BAHT/LITRE
2012,September,25,1052-HSD (B7),ID-INDONESIA,35.486433,BAHT/LITRE
2012,September,25,1052-HSD (B7),IT-ITALY,70.417072,BAHT/LITRE
2012,September,25,1052-HSD (B7),KH-KINGDOM OF CAMBODIA,39.21725,BAHT/LITRE
2012,September,25,1052-HSD (B7),"LA-LAOS,PEOPLE OF DEM.REP.OF",37.4808,BAHT/LITRE
2012,September,25,1052-HSD (B7),MY-MALAYSIA,18.15264,BAHT/LITRE
2012,September,25,1052-HSD (B7),NL-NETHERLANDS,61.214841,BAHT/LITRE
2012,September,25,1052-HSD (B7),PH-PHILIPPINES,33.763954,BAHT/LITRE
2012,September,25,1052-HSD (B7),SG-SINGAPORE,40.590193,BAHT/LITRE
2012,September,25,1052-HSD (B7),TH-THAILAND,29.99,BAHT/LITRE
2012,September,25,1052-HSD (B7),US-UNITED STATES OF AMERICA,33.751756,BAHT/LITRE
2012,September,25,1052-HSD (B7),VN-VIETNAM,32.3817,BAHT/LITRE
2012,October,25,1033G-E10,TH-THAILAND,37.13,BAHT/LITRE
2012,October,25,1034-ULG 95,BE-BELGIUM,67.73208,BAHT/LITRE
2012,October,25,1034-ULG 95,"DE-GERAMANY,FEDERAL REPUBLIC OF",65.73996,BAHT/LITRE
2012,October,25,1034-ULG 95,FR-FRANCE,68.130504,BAHT/LITRE
2012,October,25,1034-ULG 95,GB-UNITED KINGDOM,68.130504,BAHT/LITRE
2012,October,25,1034-ULG 95,HK-HONG KONG,67.869258,BAHT/LITRE
2012,October,25,1034-ULG 95,ID-INDONESIA,32.068,BAHT/LITRE
2012,October,25,1034-ULG 95,IT-ITALY,74.106864,BAHT/LITRE
2012,October,25,1034-ULG 95,KH-KINGDOM OF CAMBODIA,43.5024,BAHT/LITRE
2012,October,25,1034-ULG 95,"LA-LAOS,PEOPLE OF DEM.REP.OF",40.64442,BAHT/LITRE
2012,October,25,1034-ULG 95,MY-MALAYSIA,19.11628,BAHT/LITRE
2012,October,25,1034-ULG 95,NL-NETHERLANDS,73.70844,BAHT/LITRE
2012,October,25,1034-ULG 95,PH-PHILIPPINES,40.6987,BAHT/LITRE
2012,October,25,1034-ULG 95,SG-SINGAPORE,52.266032,BAHT/LITRE
2012,October,25,1034-ULG 95,TH-THAILAND,47.9,BAHT/LITRE
2012,October,25,1034-ULG 95,US-UNITED STATES OF AMERICA,33.568563,BAHT/LITRE
2012,October,25,1034-ULG 95,VN-VIETNAM,35.5488,BAHT/LITRE
2012,October,25,1052-HSD (B7),BE-BELGIUM,62.950992,BAHT/LITRE
